Year,Month,Day,Hour,Minute,Second,Latitude,Londitude,Height(m),sigma ,Flash No.
2013,8,1,0,27,4.6125479,35.84842,134.95173,15575,4.30E-02,5
2013,8,1,0,27,4.6126951,35.81838,134.97987,13583,2.60E-02,5
2013,8,1,0,27,4.6127242,35.84038,134.9529,14549,3.68E-01,5
2013,8,1,0,27,4.6129544,35.78322,134.99153,8970,1.95E-02,5
2013,8,1,0,27,4.616554,35.79057,134.98035,9992,4.97E-03,5
2013,8,1,0,27,4.6165904,35.79398,134.97743,9025,5.09E-02,5
2013,8,1,0,27,4.6166675,35.78629,134.99178,7086,3.41E-02,5
2013,8,1,0,27,4.6178929,35.81893,134.96201,9854,1.56E-02,5
2013,8,1,0,28,54.564084,35.79518,134.97834,12519,7.48E-03,6
2013,8,1,0,28,54.5642241,35.79296,134.97827,6638,1.52E-03,6
2013,8,1,0,28,54.5645203,35.81116,134.97365,4041,1.63E+00,6
2013,8,1,0,28,54.564598,35.80031,134.97411,4166,3.21E-02,6
2013,8,1,0,28,54.5646882,35.86942,134.92808,6379,3.37E-03,6
2013,8,1,0,28,54.564751,35.81172,134.97081,3697,1.73E-01,6
2013,8,1,0,28,54.564799,35.82439,134.96803,3491,1.37E-02,6
2013,8,1,0,28,54.5648923,35.79518,134.97834,12519,7.48E-03,6
2013,8,1,0,28,54.5650356,35.85292,134.94483,5518,4.43E-01,6
2013,8,1,0,28,54.5651778,35.8351,134.95087,13613,1.52E-02,6
2013,8,1,0,28,54.5653537,35.62563,135.03244,3421,3.59E-01,6
2013,8,1,0,28,54.5658034,35.71263,134.99667,5521,1.04E+00,6
2013,8,1,0,28,54.5658401,35.81535,134.96438,3129,3.07E-02,6
2013,8,1,0,28,54.5659439,35.9051,134.92272,1493,7.15E-01,6
2013,8,1,0,28,54.5663648,35.7018,134.99975,4625,6.34E-01,6
2013,8,1,0,28,54.5664532,35.80009,134.95407,3623,1.17E+00,6
2013,8,1,0,28,54.5671087,35.78623,134.97704,4296,1.92E-01,6
2013,8,1,0,28,54.5674437,35.81086,134.94598,15835,2.86E+00,6
2013,8,1,0,28,54.5684532,35.81519,134.9372,3427,9.08E-01,6
2013,8,1,0,28,54.5705218,35.8442,134.92294,13511,4.42E-01,6
2013,8,1,0,28,54.5776489,35.80253,134.95011,9870,2.48E-02,6
2013,8,1,0,28,54.6201117,35.84471,134.95561,15788,9.05E-02,6
2013,8,1,0,28,54.6201763,35.85475,134.93726,7229,4.90E-03,6
2013,8,1,0,28,54.6208753,35.77433,134.97188,10681,8.68E-02,6
2013,8,1,0,31,28.0930985,35.77668,135.00251,5406,1.77E-01,7
2013,8,1,0,31,28.0938467,35.77654,134.99942,6064,2.67E-01,7
2013,8,1,0,31,28.094235,35.82531,134.98587,15670,1.88E-03,7
2013,8,1,0,31,28.0943391,35.82966,134.98277,14554,4.19E-03,7
2013,8,1,0,31,28.0944743,35.87124,134.95584,12674,9.68E-02,7
2013,8,1,0,31,28.0945469,35.85122,134.98196,10187,1.03E-01,7
2013,8,1,0,31,28.0949474,35.86312,134.95067,4838,1.48E-01,7
2013,8,1,0,31,28.0950429,35.83526,134.95863,11597,7.55E-02,7
2013,8,1,0,31,28.0953245,35.80429,134.98889,4144,3.41E-01,7
2013,8,1,0,31,28.0954021,35.80433,134.98362,12629,8.77E-02,7
2013,8,1,0,31,28.0955701,35.85417,134.96743,14433,1.11E-02,7
2013,8,1,0,31,28.0956133,35.9163,134.93874,1113,4.59E-01,7
2013,8,1,0,31,28.0956843,35.85121,134.94708,6843,8.26E-01,7
2013,8,1,0,31,28.0957482,35.85167,134.97323,11165,8.16E-02,7
2013,8,1,0,31,28.0958673,35.81572,134.98347,13713,1.54E-02,7
2013,8,1,0,31,28.0961274,35.65051,135.06874,12607,1.51E-02,7
2013,8,1,0,31,28.0962774,35.79241,134.98664,13189,1.11E-01,7
2013,8,1,0,31,28.0971174,35.53955,135.04961,5507,1.37E-01,7
2013,8,1,0,31,28.0973494,35.8176,134.97449,3550,3.39E-01,7
2013,8,1,0,31,28.0974751,35.83635,134.96836,9190,1.82E-01,7
2013,8,1,0,31,28.0974779,35.62561,135.04787,1412,4.75E-02,7
2013,8,1,0,31,28.097797,35.82427,134.96889,10294,7.21E-02,7
2013,8,1,0,31,28.0979484,35.91465,134.93241,4254,3.30E-01,7
2013,8,1,0,31,28.0981575,35.82795,134.96421,1733,1.86E+00,7
2013,8,1,0,31,28.0987623,35.73486,134.99173,6753,6.53E-01,7
2013,8,1,0,31,28.1033552,35.75419,135.0072,8730,7.39E-02,7
2013,8,1,0,31,28.1034393,35.79283,134.99524,12750,7.42E-02,7
2013,8,1,0,31,28.1034716,35.84334,134.95642,10949,2.67E-02,7
2013,8,1,0,31,28.1518149,35.81851,134.98865,3446,1.00E+00,7
2013,8,1,0,31,28.1522093,35.64414,135.06852,13957,2.04E+00,7
2013,8,1,0,31,28.152227,35.89914,134.92297,6356,9.15E-01,7
2013,8,1,0,31,28.1844389,35.71927,135.03474,6763,6.40E-01,7
2013,8,1,0,31,28.1846702,35.89583,134.94972,8511,2.77E-02,7
2013,8,1,0,59,23.1474704,35.53664,132.83842,13448,5.52E+00,8
2013,8,1,0,59,23.1487571,35.56704,132.76746,14837,9.75E-01,8
2013,8,1,1,14,33.8123497,35.8524,134.9243,5976,1.05E-03,9
2013,8,1,1,14,33.8123654,35.97731,134.87135,6436,7.40E-01,9
2013,8,1,1,14,33.8124569,35.85061,134.92503,6095,1.58E-02,9
2013,8,1,1,14,33.8126609,35.91558,134.88594,7933,2.42E-02,9
2013,8,1,1,14,33.8131611,35.84319,134.93002,7232,1.11E-01,9
2013,8,1,1,14,33.8131955,35.91998,134.88887,13111,7.19E-02,9
2013,8,1,1,14,33.8133975,35.87143,134.92217,7079,1.38E-02,9
2013,8,1,1,14,33.8136077,35.8178,134.94952,7123,5.97E-03,9
2013,8,1,1,14,33.813955,35.85387,134.92972,14494,5.05E-02,9
2013,8,1,1,14,33.814059,35.85387,134.92972,14494,5.05E-02,9
2013,8,1,1,14,33.8146381,35.91607,134.89242,9813,2.04E-03,9
2013,8,1,1,14,33.8147721,35.7658,134.97879,5397,5.32E-03,9
2013,8,1,1,14,33.816256,35.78872,134.95432,8450,2.89E-03,9
2013,8,1,1,14,33.8166813,35.99586,134.87553,7671,2.56E-02,9
2013,8,1,1,14,33.8187651,35.96872,134.89325,4183,1.68E-01,9
2013,8,1,1,14,33.819544,35.77047,134.95679,7762,1.63E-01,9
2013,8,1,1,14,33.8230762,35.8774,134.94753,6073,2.21E+00,9
2013,8,1,1,14,33.8252798,35.85006,134.96244,7365,1.88E-01,9
2013,8,1,1,14,33.8255461,36.09347,134.88131,5294,5.62E-01,9
2013,8,1,1,14,33.8255961,35.79809,134.92121,9243,8.96E-01,9
2013,8,1,1,14,33.8281113,35.85834,134.96027,7170,2.15E-01,9
2013,8,1,1,14,33.8313942,35.85513,134.9769,12017,2.23E-02,9
2013,8,1,1,14,33.890102,35.86429,134.92614,10039,2.73E-01,9
2013,8,1,1,14,33.8902371,35.82407,134.94137,8783,1.10E-05,9
2013,8,1,1,18,36.8139762,35.8336,134.94913,6538,3.18E-03,10
2013,8,1,1,18,36.8153155,35.82479,134.95429,7356,5.08E-02,10
2013,8,1,1,18,36.8154544,35.83676,134.95218,13732,6.88E-03,10
2013,8,1,1,18,36.8157722,35.90346,134.91731,12155,4.98E-03,10
2013,8,1,1,18,36.8166483,35.8993,134.92174,12564,1.26E-02,10
2013,8,1,1,18,36.8166945,35.8993,134.92174,12564,1.26E-02,10
2013,8,1,1,18,36.8169308,36.08092,134.88616,8002,1.28E-01,10
2013,8,1,1,18,36.8171652,35.74689,135.00884,3648,3.64E-02,10
2013,8,1,1,18,36.8179105,35.83627,134.94791,7749,1.20E-03,10
2013,8,1,1,18,36.8179501,35.83523,134.94835,7797,4.69E-03,10
2013,8,1,1,18,36.8190138,36.11081,134.86237,6878,1.98E+00,10
2013,8,1,1,18,36.8190631,35.77444,134.98825,2409,2.34E-02,10
2013,8,1,1,18,36.8191332,35.89428,134.90572,10244,9.00E-06,10
2013,8,1,1,18,36.8192879,35.76477,134.96407,8136,2.97E-03,10
2013,8,1,1,18,36.8195261,35.92621,134.89911,12432,2.20E-02,10
2013,8,1,1,18,36.8205569,35.76004,135.00974,4027,9.43E-02,10
2013,8,1,1,18,36.820918,35.90239,134.90405,10777,1.70E-03,10
2013,8,1,1,18,36.8210773,35.83791,134.93867,8122,1.38E+00,10
2013,8,1,1,18,36.8219345,35.81365,134.94414,8777,1.43E-02,10
2013,8,1,1,18,36.8253063,35.94274,134.93466,10654,1.08E-02,10
2013,8,1,1,18,36.8259233,35.997,134.86357,12598,1.27E-02,10
2013,8,1,1,18,36.8282254,35.79727,134.96564,9423,3.27E-01,10
2013,8,1,1,18,36.8288782,35.79609,134.9938,8135,2.37E-01,10
2013,8,1,1,18,36.8311616,35.88998,134.93006,10419,7.99E-02,10
2013,8,1,1,18,36.8313229,36.00705,134.93373,6883,3.42E+00,10
2013,8,1,1,18,36.8316604,35.93007,134.93967,12540,4.59E-02,10
2013,8,1,1,18,36.83309,35.93304,134.9388,13888,1.58E-04,10
2013,8,1,1,18,36.8349935,35.92749,134.95109,13244,6.24E-03,10
2013,8,1,1,18,36.8372583,35.92416,134.95652,9941,1.21E-03,10
2013,8,1,1,18,36.8384826,35.80506,135.00747,6682,8.31E-02,10
2013,8,1,1,18,36.8398206,35.86279,134.99132,13653,5.84E-02,10
2013,8,1,1,18,36.8500711,35.84125,134.97715,7773,1.25E-01,10
2013,8,1,1,20,37.9816987,35.84132,134.96308,6840,4.07E-02,11
2013,8,1,1,20,37.9822321,35.88527,134.9482,1032,2.97E-01,11
2013,8,1,1,20,37.9829038,35.83694,134.97303,14522,9.78E-02,11
2013,8,1,1,20,37.982921,35.89281,134.93208,8865,5.87E-02,11
2013,8,1,1,20,37.9831283,35.87373,134.95003,13712,6.00E-02,11
2013,8,1,1,20,37.9835134,35.90895,134.93218,12432,2.03E-01,11
2013,8,1,1,20,37.9840462,35.83884,134.96036,7407,9.49E-02,11
2013,8,1,1,20,37.9840943,35.8527,134.9568,7307,6.11E-02,11
2013,8,1,1,20,37.9845541,35.80704,134.96548,6762,9.89E-02,11
2013,8,1,1,20,37.9845822,35.92839,134.91722,9018,1.31E+00,11
2013,8,1,1,20,37.9848139,35.79611,134.98665,7654,1.05E-01,11
2013,8,1,1,20,37.9849208,35.84467,134.97483,7336,1.50E-01,11
2013,8,1,1,20,37.9851354,35.84027,134.9701,7297,7.00E-03,11
2013,8,1,1,20,37.985918,35.81284,134.99187,14716,2.40E-02,11
2013,8,1,1,20,37.9867173,35.85262,134.95645,8398,1.15E-01,11
2013,8,1,1,20,37.9877048,35.8831,134.92398,13977,1.97E-01,11
2013,8,1,1,20,37.9958407,35.86373,134.94797,8512,7.88E-01,11
2013,8,1,1,20,37.9974243,36.16147,134.90579,5489,4.30E+00,12
2013,8,1,1,20,38.0055052,36.0923,134.93162,6251,1.33E+00,12
2013,8,1,1,20,38.0058186,35.90231,134.98511,4026,1.26E+00,11
2013,8,1,1,20,38.0109222,35.76634,134.95076,9092,6.76E-02,11
2013,8,1,1,20,38.0347734,35.82583,134.98779,5049,1.41E-01,11
2013,8,1,1,20,38.0436201,35.85179,134.98521,7810,6.25E-01,11
2013,8,1,1,20,38.0536379,35.95859,134.94088,10753,6.13E-01,11
2013,8,1,1,20,38.0743151,35.76549,134.97834,8534,3.82E-01,11
2013,8,1,1,23,22.7380339,35.88634,134.96882,13223,2.42E-03,13
2013,8,1,1,23,22.7387399,35.90905,134.96523,11110,2.04E-02,13
2013,8,1,1,23,22.738957,35.84957,135.00043,4888,1.14E+00,13
2013,8,1,1,23,22.7390107,35.85329,134.9998,6900,9.08E-03,13
2013,8,1,1,23,22.7390844,35.91153,134.96478,12601,4.20E-03,13
2013,8,1,1,23,22.7393385,35.8526,135.00028,5351,1.58E-02,13
2013,8,1,1,23,22.7401902,35.85623,134.9985,7010,8.14E-03,13
2013,8,1,1,23,22.740335,35.83511,135.01001,7066,3.37E-03,13
2013,8,1,1,23,22.7411673,35.92354,134.96735,11140,4.61E-03,13
2013,8,1,1,23,22.7412488,35.84622,135.00402,8244,9.00E-03,13
2013,8,1,1,23,22.7420932,35.75852,135.02996,5827,6.00E-02,13
2013,8,1,1,23,22.7431776,35.9111,134.96042,13333,6.89E-03,13
2013,8,1,1,23,22.7450234,35.86297,135.01323,7382,1.42E-02,13
2013,8,1,1,23,22.7456529,35.92965,134.97011,9436,3.04E-02,13
2013,8,1,1,23,22.749307,35.87108,134.98608,7409,6.07E-02,13
2013,8,1,1,23,22.7512105,35.84015,135.01173,8710,7.24E-02,13
2013,8,1,1,23,22.7552231,35.93897,134.94162,9873,2.57E-01,13
2013,8,1,1,23,22.7596603,35.7758,134.99492,8606,1.09E+00,13
2013,8,1,1,23,22.7628929,35.87045,134.9692,15548,5.42E-03,13
2013,8,1,1,23,22.7803595,35.84565,134.96094,9165,1.49E-01,13
2013,8,1,1,23,22.7870376,35.73746,135.01773,12570,2.56E-02,13
2013,8,1,1,23,22.8112241,35.87617,134.92745,13736,2.15E-01,13
2013,8,1,1,25,26.5672863,35.8351,135.01036,5759,1.80E-01,14
2013,8,1,1,25,26.5674621,35.90971,134.97261,11746,5.41E-01,14
2013,8,1,1,25,26.5677159,35.90992,134.97273,13192,3.93E-01,14
2013,8,1,1,25,26.5679084,35.8242,135.01561,6436,3.33E-02,14
2013,8,1,1,25,26.5681072,35.84616,135.00961,4708,5.57E+00,14
2013,8,1,1,25,26.5691049,35.91254,134.97332,10254,5.76E-03,14
2013,8,1,1,25,26.5692226,35.89742,134.9933,2667,1.55E+00,14
2013,8,1,1,25,26.5696625,35.86147,134.98349,14056,6.13E-02,14
2013,8,1,1,25,26.5697876,35.80908,135.02489,6514,1.91E-02,14
2013,8,1,1,25,26.5718476,35.83271,135.02896,6733,5.63E-02,14
